Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
brown-throw-pillows,Brown Throw Pillows,<p>Stylish brown throw pillows</p>,Rustic LTD,,Indoor,Pillows,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,19.99,25.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/brown-throw-pillows-linhnguyen4-1.jpg?v=1778661404,1,Brown Throw Pillows - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
white-ceramic-pot,White Ceramic Pot,<p>Homemade white ceramic flower pot</p>,Rustic LTD,,Indoor,"Plants, Pot",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,15.99,30.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/white-ceramic-pot-linhnguyen4-1.jpg?v=1778661402,1,White Ceramic Pot - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
yellow-watering-can,Yellow watering can,<p>Vintage vibrant watering can</p>,Rustic LTD,,Outdoor,Plants,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,40.99,50.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/yellow-watering-can-linhnguyen4-1.jpg?v=1778661400,1,Yellow watering can - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
gardening-hand-trowel,Gardening hand trowel,<p>Metal gardening hand trowel with wooden handle</p>,Rustic LTD,,Outdoor,Plants,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,10.99,25.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gardening-hand-trowel-linhnguyen4-1.jpg?v=1778661398,1,Gardening hand trowel - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
biodegradable-cardboard-pots,Biodegradable cardboard pots,<p>Biodegradable outdoor cardboard pots</p>,Rustic LTD,,Outdoor,"Garden, Plants",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/biodegradable-cardboard-pots-linhnguyen4-1.jpg?v=1778661397,1,Biodegradable cardboard pots - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
grey-sofa,Grey Sofa,<p>Large four seater grey sofa</p>,Rustic LTD,,Indoor,Sofa,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,29.99,35.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/grey-sofa-linhnguyen4-1.jpg?v=1778661395,1,Grey Sofa - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
wooden-outdoor-slats,Wooden outdoor slats,<p>Wooden outdoor fencing slats</p>,Rustic LTD,,Outdoor,"Garden, Wood",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,25.99,35.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/wooden-outdoor-slats-linhnguyen4-1.jpg?v=1778661393,1,Wooden outdoor slats - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
wooden-fence,Wooden Fence,<p>Wooden garden fence</p>,Rustic LTD,,Outdoor,"Garden, Wood",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,200.00,300.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/wooden-fence-linhnguyen4-1.jpg?v=1778661392,1,Wooden Fence - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
yellow-sofa,Yellow Sofa,<p>Two seater yellow sofa with wooden legs</p>,Home Sweet Home,,Indoor,Sofa,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,99.99,150.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/yellow-sofa-linhnguyen4-1.jpg?v=1778661391,1,Yellow Sofa - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
knitted-throw-pillows,Knitted Throw Pillows,<p>Homemade knitted throw pillows in a variety of colors</p>,Home Sweet Home,,Indoor,Pillows,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,19.99,25.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/knitted-throw-pillows-linhnguyen4-1.jpg?v=1778661389,1,Knitted Throw Pillows - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
vanilla-candle,Vanilla candle,<p>Vanilla scent candle in jar</p>,Home Sweet Home,,Indoor,Candle,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,15.99,30.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/vanilla-candle-linhnguyen4-1.jpg?v=1778661388,1,Vanilla candle - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
black-bean-bag,Black Beanbag,<p>Black leather beanbag</p>,Company 123,,Indoor,"Black, Leather",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,69.99,80.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/black-beanbag-linhnguyen4-1.jpg?v=1778661386,1,Black Beanbag - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
bedside-table,Bedside Table,<p>Wooden bedside table</p>,Company 123,,Indoor,"Bedroom, Wood",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,69.99,85.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/bedside-table-linhnguyen4-1.jpg?v=1778661385,1,Bedside Table - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
ocean-blue-shirt,Ocean Blue Shirt,<p>Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns.</p>,partners-demo,,"",men,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/ocean-blue-shirt-linhnguyen4-1.jpg?v=1778661384,1,Ocean Blue Shirt - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
classic-varsity-top,Classic Varsity Top,"<p>Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.</p>",partners-demo,,"",women,true,Size,Small,,,,,,,,,0.0,,deny,manual,60.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/classic-varsity-top-linhnguyen4-1.jpg?v=1778661382,1,Classic Varsity Top - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
classic-varsity-top,,,,,,,,,Medium,,,,,,,,,0.0,,deny,manual,60.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
classic-varsity-top,,,,,,,,,Large,,,,,,,,,0.0,,deny,manual,60.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-wool-jumper,Yellow Wool Jumper,<p>Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/yellow-wool-jumper-linhnguyen4-1.jpg?v=1778661381,1,Yellow Wool Jumper - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
floral-white-top,Floral White Top,<p>Stylish sleeveless white top with a floral pattern.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,75.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/floral-white-top-linhnguyen4-1.jpg?v=1778661379,1,Floral White Top - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
striped-silk-blouse,Striped Silk Blouse,<p>Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/striped-silk-blouse-linhnguyen4-1.jpg?v=1778661378,1,Striped Silk Blouse - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
classic-leather-jacket,Classic Leather Jacket,"<p>Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/classic-leather-jacket-linhnguyen4-1.jpg?v=1778661377,1,Classic Leather Jacket - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
dark-denim-top,Dark Denim Top,"<p>Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,60.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/dark-denim-top-linhnguyen4-1.jpg?v=1778661375,1,Dark Denim Top - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
navy-sport-jacket,Navy Sports Jacket,"<p>Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.</p>",partners-demo,,"",men,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,60.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/navy-sports-jacket-linhnguyen4-1.jpg?v=1778661374,1,Navy Sports Jacket - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
dark-winter-jacket,Soft Winter Jacket,"<p>Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/soft-winter-jacket-linhnguyen4-1.jpg?v=1778661373,1,Soft Winter Jacket - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
black-leather-bag,Black Leather Bag,"<p>Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,30.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/black-leather-bag-linhnguyen4-1.jpg?v=1778661371,1,Black Leather Bag - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
zipped-jacket,Zipped Jacket,<p>Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.</p>,partners-demo,,"",men,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,65.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/zipped-jacket-linhnguyen4-1.jpg?v=1778661369,1,Zipped Jacket - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
silk-summer-top,Silk Summer Top,<p>Silk womens top with short sleeves and number pattern.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/silk-summer-top-linhnguyen4-1.jpg?v=1778661368,1,Silk Summer Top - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
longsleeve-cotton-top,Long Sleeve Cotton Top,"<p>Black cotton womens top, with long sleeves, no collar and a thick hem.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/long-sleeve-cotton-top-linhnguyen4-1.jpg?v=1778661366,1,Long Sleeve Cotton Top - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
chequered-red-shirt,Chequered Red Shirt,"<p>Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.</p>",partners-demo,,"",men,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/chequered-red-shirt-linhnguyen4-1.jpg?v=1778661365,1,Chequered Red Shirt - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
white-cotton-shirt,White Cotton Shirt,<p>Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,30.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/white-cotton-shirt-linhnguyen4-1.jpg?v=1778661364,1,White Cotton Shirt - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
olive-green-jacket,Olive Green Jacket,<p>Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,65.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/olive-green-jacket-linhnguyen4-1.jpg?v=1778661362,1,Olive Green Jacket - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
blue-silk-tuxedo,Blue Silk Tuxedo,<p>Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.</p>,partners-demo,,"",men,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/blue-silk-tuxedo-linhnguyen4-1.jpg?v=1778661361,1,Blue Silk Tuxedo - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
red-sports-tee,Red Sports Tee,<p>Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/red-sports-tee-linhnguyen4-1.jpg?v=1778661360,1,Red Sports Tee - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
striped-skirt-and-top,Striped Skirt and Top,<p>Black cotton top with matching striped skirt.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/striped-skirt-and-top-linhnguyen4-1.jpg?v=1778661358,1,Striped Skirt and Top - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
led-high-tops,LED High Tops,"<p>Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.</p>",partners-demo,,"",men,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/led-high-tops-linhnguyen4-1.jpg?v=1778661357,1,LED High Tops - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
gift-cart,Gift cart,<p></p>,linhnguyen4,Gift Cards,Gift Cards,"",true,Denominations,$10.00,,,,,,,,,0.0,,deny,gift_card,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gift-cart-linhnguyen4-1.jpg?v=1778661356,1,Gift cart - linhnguyen4,true,,,,,,,,,,,,,lb,,,,,,active
gift-cart,,,,,,,,,$25.00,,,,,,,,,0.0,,deny,gift_card,25.00,,false,false,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
gift-cart,,,,,,,,,$50.00,,,,,,,,,0.0,,deny,gift_card,50.00,,false,false,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
gift-cart,,,,,,,,,$100.00,,,,,,,,,0.0,,deny,gift_card,100.00,,false,false,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
burton-approach-under-glove-2016,Approach Under Glove,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Screen Grab® Toughgrip™ Palm for Total Touchscreen Control</li>
<li>DRYRIDE Ultrashell™ 2-Layer Fabric</li>
<li>220G Removable Fleece Liner</li>
<li>Soft Chamois Goggle Wipe</li>
<li>Ergonomic Pre-Curved Fit</li>
</ul>",Burton,,Gloves,Gloves,true,Size,Medium,,Color,True Black,,,,,,454.000603133,shopify,deny,manual,54.95,,true,true,,,,,'9009518582030,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/approach-under-glove-linhnguyen4-1.jpg?v=1778661354,1,Approach Under Glove - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/approach-under-glove-linhnguyen4-1.jpg?v=1778661354,lb,,,,,,active
burton-approach-under-glove-2016,,,,,,,,,Large,,,True Black,,,,,,453.002699919,shopify,deny,manual,54.95,,true,true,,,,,'9009518582023,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/approach-under-glove-linhnguyen4-1.jpg?v=1778661354,lb,,,,,,
burton-approach-under-glove-2016,,,,,,,,,XLarge,,,True Black,,,,,,453.002699919,shopify,deny,manual,54.95,,true,true,,,,,'9009518582054,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/approach-under-glove-linhnguyen4-1.jpg?v=1778661354,lb,,,,,,
burton-gore-tex-under-mitt-2016,Gore-Tex Under Mitt,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Screen Grab® Toughgrip™ Palm for Total Touchscreen Control</li>
<li>DRYRIDE Durashell™ 2-Layer Fabric</li>
<li>Durably Waterproof, Windproof, and Breathable GORE-TEX® Membrane + Gore warm technology</li>
<li>Thermacore™ Insulation</li>
<li>Brushed Microfiber Fixed Lining</li>
<li>Removable, 4-Way Stretch DRYRIDE Thermex™ Liner with Sticky Icky™ Grip Palm</li>
<li>Hidden Heater/Vent Pocket</li>
<li>Ergonomic Pre-Curved Fit</li>
</ul>",Burton,,Gloves,Gloves,true,Size,Small,,Color,True Black,,,,,,453.002699919,shopify,deny,manual,69.95,,true,true,,,,,'9009518598635,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-mitt-linhnguyen4-1.jpg?v=1778661352,1,Gore-Tex Under Mitt - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-mitt-linhnguyen4-1.jpg?v=1778661352,lb,,,,,,active
burton-gore-tex-under-mitt-2016,,,,,,,,,Medium,,,True Black,,,,,,453.002699919,shopify,deny,manual,69.95,,true,true,,,,,'9009518598628,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-mitt-linhnguyen4-1.jpg?v=1778661352,lb,,,,,,
burton-gore-tex-under-mitt-2016,,,,,,,,,Large,,,True Black,,,,,,454.000603133,shopify,deny,manual,69.95,,true,true,,,,,'9009518598611,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-mitt-linhnguyen4-1.jpg?v=1778661352,lb,,,,,,
burton-gore-tex-under-glove-2016,Gore-Tex Under Glove,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Screen Grab® Toughgrip™ Palm for Total Touchscreen Control</li>
<li>DRYRIDE Durashell™ 2-Layer Fabric</li>
<li>Durably Waterproof, Windproof, and Breathable GORE-TEX® Membrane + Gore warm technology</li>
<li>Thermacore™ Insulation</li>
<li>Brushed Microfiber Fixed Lining</li>
<li>Removable, 4-Way Stretch DRYRIDE Thermex™ Liner with Sticky Icky™ Grip Palm</li>
<li>Hidden Heater/Vent Pocket</li>
<li>Ergonomic Pre-Curved Fit</li>
</ul>",Burton,,Gloves,Gloves,true,Size,Small,,Color,True Black,,,,,,453.002699919,shopify,deny,manual,69.95,,true,true,,,,,'9009518583945,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-glove-linhnguyen4-1.jpg?v=1778661351,1,Gore-Tex Under Glove - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-glove-linhnguyen4-1.jpg?v=1778661351,lb,,,,,,active
burton-gore-tex-under-glove-2016,,,,,,,,,Medium,,,True Black,,,,,,453.002699919,shopify,deny,manual,69.95,,true,true,,,,,'9009518583938,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-glove-linhnguyen4-1.jpg?v=1778661351,lb,,,,,,
burton-gore-tex-under-glove-2016,,,,,,,,,Large,,,True Black,,,,,,453.002699919,shopify,deny,manual,69.95,,true,true,,,,,'9009518583921,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-glove-linhnguyen4-1.jpg?v=1778661351,lb,,,,,,
burton-gore-tex-under-glove-2016,,,,,,,,,XLarge,,,True Black,,,,,,453.002699919,shopify,deny,manual,69.95,,true,true,,,,,'9009518583952,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-under-glove-linhnguyen4-1.jpg?v=1778661351,lb,,,,,,
spyder-overweb-gore-tex-glove-2016,Gore-Tex Glove,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Guaranteed to keep you Dry GORE-TEX waterproof, breathable</li>
<li>Zippered heater pack pocket</li>
<li>Over the cuff gauntlet</li>
<li>Single-handed drawcordPre-curved articulated fit</li>
<li>Adjustable wrist strap</li>
<li>Nylon Dobby Weave with XtCoating and Spylon+DWR</li>
<li>3M Thinsulate Insulation (15g)</li>
</ul>",Spyder,,Gloves,Gloves,true,Size,Medium,,Color,Black/Polar,,,,,,454.000603133,shopify,deny,manual,85.00,,true,true,,,,,'889212070045,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-glove-linhnguyen4-1.jpg?v=1778661349,1,Gore-Tex Glove - linhnguyen4,false,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/gore-tex-glove-linhnguyen4-1.jpg?v=1778661349,lb,,,,,,active
